"Iteracao";"grad_m";"grad_b"
732;-0.209342;3.516694
733;-0.209322;3.516359
734;-0.209302;3.516025
735;-0.209282;3.515690
736;-0.209262;3.515356
737;-0.209242;3.515022
738;-0.209222;3.514687
739;-0.209202;3.514353
740;-0.209182;3.514019
741;-0.209162;3.513685
742;-0.209143;3.513350
743;-0.209123;3.513016
744;-0.209103;3.512682
745;-0.209083;3.512348
746;-0.209063;3.512014
747;-0.209043;3.511680
748;-0.209023;3.511346
749;-0.209003;3.511012
750;-0.208984;3.510678
751;-0.208964;3.510344
752;-0.208944;3.510011
753;-0.208924;3.509677
754;-0.208904;3.509343
755;-0.208884;3.509009
756;-0.208864;3.508675
757;-0.208844;3.508342
758;-0.208825;3.508008
759;-0.208805;3.507674
760;-0.208785;3.507341
761;-0.208765;3.507007
762;-0.208745;3.506674
763;-0.208725;3.506340
764;-0.208705;3.506007
765;-0.208686;3.505673
766;-0.208666;3.505340
767;-0.208646;3.505007
768;-0.208626;3.504673
769;-0.208606;3.504340
770;-0.208586;3.504007
771;-0.208567;3.503673
772;-0.208547;3.503340
773;-0.208527;3.503007
774;-0.208507;3.502674
775;-0.208487;3.502341
776;-0.208467;3.502008
777;-0.208448;3.501675
778;-0.208428;3.501341
779;-0.208408;3.501008
780;-0.208388;3.500676
781;-0.208368;3.500343
782;-0.208348;3.500010
783;-0.208329;3.499677
784;-0.208309;3.499344
785;-0.208289;3.499011
786;-0.208269;3.498678
787;-0.208249;3.498346
788;-0.208230;3.498013
789;-0.208210;3.497680
790;-0.208190;3.497348
791;-0.208170;3.497015
792;-0.208150;3.496682
793;-0.208131;3.496350
794;-0.208111;3.496017
795;-0.208091;3.495685
796;-0.208071;3.495352
797;-0.208051;3.495020
798;-0.208032;3.494688
799;-0.208012;3.494355
800;-0.207992;3.494023
801;-0.207972;3.493691
802;-0.207952;3.493358
803;-0.207933;3.493026
804;-0.207913;3.492694
805;-0.207893;3.492362
806;-0.207873;3.492030
807;-0.207854;3.491697
808;-0.207834;3.491365
809;-0.207814;3.491033
810;-0.207794;3.490701
811;-0.207775;3.490369
812;-0.207755;3.490037
813;-0.207735;3.489705
814;-0.207715;3.489374
815;-0.207696;3.489042
816;-0.207676;3.488710
817;-0.207656;3.488378
818;-0.207636;3.488046
819;-0.207617;3.487715
820;-0.207597;3.487383
821;-0.207577;3.487051
822;-0.207557;3.486720
823;-0.207538;3.486388
824;-0.207518;3.486056
825;-0.207498;3.485725
826;-0.207478;3.485393
827;-0.207459;3.485062
828;-0.207439;3.484730
829;-0.207419;3.484399
830;-0.207399;3.484068
831;-0.207380;3.483736
832;-0.207360;3.483405
833;-0.207340;3.483074
834;-0.207321;3.482742
835;-0.207301;3.482411
836;-0.207281;3.482080
837;-0.207261;3.481749
838;-0.207242;3.481418
839;-0.207222;3.481087
840;-0.207202;3.480755
841;-0.207183;3.480424
842;-0.207163;3.480093
843;-0.207143;3.479762
844;-0.207123;3.479432
845;-0.207104;3.479101
846;-0.207084;3.478770
847;-0.207064;3.478439
848;-0.207045;3.478108
849;-0.207025;3.477777
850;-0.207005;3.477447
851;-0.206986;3.477116
852;-0.206966;3.476785
853;-0.206946;3.476454
854;-0.206927;3.476124
855;-0.206907;3.475793
856;-0.206887;3.475463
857;-0.206868;3.475132
858;-0.206848;3.474802
859;-0.206828;3.474471
860;-0.206808;3.474141
861;-0.206789;3.473810
862;-0.206769;3.473480
863;-0.206749;3.473150
864;-0.206730;3.472819
865;-0.206710;3.472489
866;-0.206691;3.472159
867;-0.206671;3.471828
868;-0.206651;3.471498
869;-0.206632;3.471168
870;-0.206612;3.470838
871;-0.206592;3.470508
872;-0.206573;3.470178
873;-0.206553;3.469848
874;-0.206533;3.469518
875;-0.206514;3.469188
876;-0.206494;3.468858
877;-0.206474;3.468528
878;-0.206455;3.468198
879;-0.206435;3.467868
